entity_name	entity_name_fb
["2012 NCAA Men's Division I Basketball Tournament"]	2006_NCAA_Men's_Division_I_Basketball_Tournament
["Ain't Talkin' 'Bout Love"]	not_linked
["Athletics at the 1976 Summer Olympics - Men's Decathlon"]	1976_Summer_Olympics
["Aubrey O'Day"]	not_linked
["Aurore Giscard d'Estaing"]	not_linked
["Bill Gates's house"]	not_linked
["Brian O'Conner"]	not_linked
["Bright's disease"]	not_linked
["Child's Play"]	not_linked
["Georgia O'Keeffe"]	not_linked
["Gymnastics at the 2012 Summer Olympics – Women's artistic team all-around"]	not_linked
["Harry Potter and the Philosopher's Stone"]	Harry_Potter_and_the_Philosopher's_Stone
["Jack Daniel's"]	not_linked
["LSU Tigers men's basketball"]	LSU_Tigers_men's_basketball
["McDonald's"]	McDonald's
["Nat Turner's slave rebellion"]	not_linked
["Newton's law of universal gravitation"]	not_linked
["Nyang'oma Kogelo"]	not_linked
["Parkinson's disease"]	Parkinson's_disease
["Saint Mary's College of California Gael"]	Saint_Mary's_College_of_California
["Saint Mary's College of California"]	Saint_Mary's_College_of_California
["San Canzian d'Isonzo"]	not_linked
["Shaquille O'Neal"]	Shaquille_O'Neal
["Shays' Rebellion"]	not_linked
["St Andrew's School, Pangbourne"]	University_of_St_Andrews
["St George's Day"]	not_linked
["St James's Palace"]	not_linked
["St Trinian's School"]	not_linked
["That's one small step for man, one giant leap for mankind."]	not_linked
["The King's School, Grantham"]	not_linked
["The Lion King II: Simba's Pride"]	The_Lion_King
["United Nations Children's Fund"]	not_linked
["Walt Disney's Wonderful World of Color"]	Disney's_House_of_Mouse
["Women's rights"]	Feminism
['-1332']	not_linked
['-479']	not_linked
['0.01']	not_linked
['0030']	not_linked
['0343-12-06']	not_linked
['08260']	not_linked
['139-799']	not_linked
['1440']	not_linked
['1656']	not_linked
['1672-04-04']	not_linked
['1786']	not_linked
['1789-04-30']	not_linked
['1836-02-23']	not_linked
['1841-03-04']	not_linked
['1881']	not_linked
['1883']	not_linked
['1889-04-20']	not_linked
['1901']	not_linked
['1901-09-14']	not_linked
['1903 World Series']	not_linked
['1906 San Francisco earthquake']	not_linked
['1906-04-18']	not_linked
['1908 World Series']	1908_Major_League_Baseball_season
['1913-03-04']	not_linked
['1914']	not_linked
['1921-09']	not_linked
['1923 World Series']	1927_Major_League_Baseball_Season
['1929-03-04']	not_linked
['1940-05-15']	not_linked
['1945-04-12']	not_linked
['1945-04-30']	not_linked
['1945-09-02']	not_linked
['1948-05-15']	not_linked
['1949 BAA Finals']	not_linked
['1949']	not_linked
['1955-11-01']	not_linked
['1957 NBA Finals']	not_linked
['1960-11-08']	not_linked
['1961-01-20']	not_linked
['1962']	not_linked
['1964-08-27']	1964_Summer_Olympics
['1967 Stanley Cup Finals']	not_linked
['1968']	1968_Summer_Olympics
['1968-03-29']	not_linked
['1969 World Series']	not_linked
['1969-01-20']	not_linked
['1971-02-04']	not_linked
['1971-10-13']	not_linked
['1972']	not_linked
['1973 NBA Finals']	not_linked
['1975 NBA Finals']	not_linked
['1975-04-30']	not_linked
['1976-08-10']	not_linked
['1976–77 FA Cup']	not_linked
['1977']	not_linked
['1977-07-13']	not_linked
['1980']	not_linked
['1982 World Series']	not_linked
['1983 World Series']	1985_Major_League_Baseball_season
['1984 NBA draft']	2004_NBA_draft
['1984']	not_linked
['1985–86 NBA season']	1985_Major_League_Baseball_season
['1986 World Series']	1985_Major_League_Baseball_season
['1987 NFL season']	1985_Major_League_Baseball_season
['1987']	not_linked
['1988 World Series']	not_linked
['1988']	not_linked
['1988-10']	not_linked
['1988-11-08']	not_linked
['1989 Loma Prieta earthquake']	not_linked
['1990 Major League Baseball Draft']	1995_Major_League_Baseball_Draft
['1990']	not_linked
['1991 NBA Finals']	not_linked
['1991']	not_linked
['1992 NBA draft']	2004_NBA_draft
['1992–93 NBA season']	not_linked
['1994 Formula One season']	not_linked
['1994 Major League Baseball Season']	1985_Major_League_Baseball_season
['1994 NBA Finals']	not_linked
['1995 World Series']	not_linked
['1995']	not_linked
['1996 Summer Olympics']	1996_Summer_Olympics
['1996 UEFA Champions League Final']	not_linked
['1996']	not_linked
['1997–98 NBA season']	not_linked
['1998 NBA Finals']	not_linked
['1998 NFL draft']	2004_NFL_Draft
['1999 NFL draft']	2004_NFL_Draft
['2000']	not_linked
['2000–01 NBA season']	not_linked
['2001 Major League Baseball Season']	2000_Major_League_Baseball_season
['2001 World Series']	2004_Major_League_Baseball_season
['2001-01-20']	not_linked
['2001-04-19']	not_linked
['2001-08-03']	not_linked
['2002 Bali bombings']	not_linked
['2002 Major League Baseball Season']	2000_Major_League_Baseball_season
['2002']	not_linked
['2002-10-12']	not_linked
['2003 AFC Championship Game']	not_linked
['2003 NBA draft']	2003_NBA_draft
['2003 World Series']	2003_Major_League_Baseball_season
['2003 invasion of Iraq']	2003_invasion_of_Iraq
['2003-01-02']	not_linked
['2003-03-20']	not_linked
['2003-11-18']	not_linked
['2003–04 NBA season']	not_linked
['2004 NBA Finals']	not_linked
['2005 NFL draft']	2005_NFL_Draft
['2005']	not_linked
['2005-09-25']	not_linked
['2006 NBA draft']	2006_NBA_draft
['2006 NFL draft']	2006_NFL_Draft
['2006 Stanley Cup Finals']	not_linked
['2006']	not_linked
['2007 NBA draft']	2007_NBA_draft
['2007 World Series']	2007_Major_League_Baseball_season
['2007-07-21']	not_linked
['2007–08 NBA season']	not_linked
['2008 Summer Olympics']	2008_Summer_Olympics
['2008']	not_linked
['2008-04-27']	not_linked
['2009 Nobel Peace Prize']	Nobel_Peace_Prize
['2009']	2010
['2009-04-23']	not_linked
['2009-12-28']	not_linked
['2010 Chile earthquake']	not_linked
['2010 NBA Finals']	not_linked
['2010 Stanley Cup Finals']	not_linked
['2011 Atlantic hurricane season']	The_Hurricane
['2011 Christchurch earthquake']	not_linked
['2011 military intervention in Libya']	Libyan_Civil_War
['2011']	2012
['2011-02-15']	not_linked
['2011-02-22']	not_linked
['2011-03-19']	not_linked
['2011-09-12']	not_linked
['2012 Football League Cup Final']	not_linked
['2012 Masters Tournament']	not_linked
['2012 World Series']	not_linked
['2012-02-07']	not_linked
['2012-03-16']	not_linked
['2013 Stanley Cup Finals']	not_linked
['2014 Stanley Cup Finals']	not_linked
['2014 UEFA Champions League Final']	not_linked
['2014 World Series']	not_linked
['2014-06-23']	not_linked
['2015-04-02']	not_linked
['29 Ashwin']	not_linked
['3.048']	not_linked
['30 Rock - Season 6']	30_Rock
['45067']	not_linked
['79735']	not_linked
['94560']	not_linked
['A Bronx Tale']	not_linked
['A Study in Scarlet']	Scarlet
['ADX Florence']	not_linked
['AFC North']	not_linked
['AFC South']	Carolina_Panthers
['ALDI']	not_linked
['ALF']	not_linked
['AT&T Corporation']	AT&T
['AT&T Park']	not_linked
['AUD']	not_linked
['Aaron Rodgers']	not_linked
['Abarth']	not_linked
['Abbottabad']	not_linked
['Abdullah al-Thani']	Yasser_Arafat
['Abraham Lincoln']	Abraham_Lincoln
['Abraham Maslow']	not_linked
['Abraham']	not_linked
['Abrahamic religions']	Judaism-GB
['Acadia University']	Acadia_University
['Actor']	Actor-GB
['Adam Levine']	Adam_Levine
['Adam Morrison']	not_linked
['Adam Reed']	not_linked
['Adam Sandler']	Adam_Sandler
['Adam Smith']	Adam_Smith
['Addis Ababa']	Addis_Ababa
['Adolf Hitler']	Adolf_Hitler
['Adrian Peterson']	not_linked
['Adriatic Sea']	Adriatic_Sea
['Afghan afghani']	not_linked
['Afghanistan']	Afghanistan
['Africa']	Africa
['African American']	African_American
['African Union']	African_Union
['Afrikaans Language']	Afrikaans_Language
['Afro-Guyanese']	not_linked
['Agatha Christie']	Agatha_Christie
['Aidan Davis']	not_linked
['Aidan Quinn']	Aidan_Quinn
['AirTran Airways']	Pan_American_World_Airways
['Akihito']	not_linked
['Akkad']	not_linked
['Akkadian Empire']	not_linked
['Akkadian language']	not_linked
['Al Capone']	not_linked
['Al Gore']	Al_Gore
['Al-Qaeda']	al-Qaeda
['Alabama']	Alabama
['Alan Thicke']	Alan_Thicke
['Alan']	not_linked
['Alaska']	Alaska
['Albania']	Albania
['Albany High School']	Stuyvesant_High_School
['Albert Brooks']	Albert_Brooks
['Albert Einstein']	Albert_Einstein
['Albert Pujols']	not_linked
['Albert Speer']	not_linked
['Albert, Prince Consort']	not_linked
['Alberta']	Alberta
['Alderaan']	not_linked
['Alejandra Amarilla']	not_linked
['Alex Borstein']	Alex_Borstein
['Alex Chilton']	not_linked
['Alex Rodriguez']	Alex_Rodriguez
['Alex Smith']	not_linked
['Alexander Graham Bell']	William_J._Bell
['Alexander Luthor']	not_linked
['Alexandra of Denmark']	not_linked
['Alexandria']	Alexandria
['Alfonso Ribeiro']	not_linked
['Algeria']	Algeria
['Alice Kim']	not_linked
['Alice Stokes Paul']	not_linked
['Alice Walker']	not_linked
['Aliso Viejo']	Vallejo
['Allen Iverson']	Allen_Iverson
['Alltel']	not_linked
['Alvin Smith']	not_linked
['Alyson Stoner']	Alyson_Stoner
['Amanda Grayson']	not_linked
['Amanda Seyfried']	Amanda_Seyfried
['Amazon Kindle']	not_linked
['Amazon River']	not_linked
['Amazon rainforest']	not_linked
['Amazon.com']	Amazon.com
['Amboise']	not_linked
['Amelia Earhart']	Amelia
['American Bulldog']	Bulldog
['American Express']	not_linked
['American Federation of Labor']	not_linked
['American Football League']	National_Football_League
['American Idol - Season 5']	not_linked
['American League West']	National_League
['American League']	National_League
['American Red Cross']	not_linked
['American Revolutionary War']	American_Revolutionary_War
['American football player']	Football_player
['Amsterdam']	Amsterdam
['Amy Adams']	Amy_Adams
['Amy Grant']	Amy_Grant
['Anaheim']	Anaheim
['Anakin Skywalker']	not_linked
['Anal cancer']	not_linked
['Ancestral Puebloans']	Indigenous_peoples_of_the_Americas
['Ancient Egypt']	not_linked
['Ancient Greek temple']	not_linked
['Anders Celsius']	not_linked
['Anderson Cooper 360°']	not_linked
['Anderson Cooper']	not_linked
['Anderson Silva']	not_linked
['Andes']	Andes
['Andreas Vesalius']	not_linked
['Andrew Carnegie']	not_linked
['Andrew Cuomo']	Rivers_Cuomo
['Andrew Jackson']	Andrew_Jackson
['Andrew Johnson']	not_linked
['Andrew Young']	not_linked
['Andrews']	not_linked
['Andrés Segovia']	not_linked
['Andy Hallett']	Andy_Hallett
['Andy Irons']	not_linked
['Andy Murray']	not_linked
['Andy Warhol']	Andy_Warhol
['Andy Williams']	Andy_Williams
['Angelina Jolie']	Angelina_Jolie
['Anger Management']	Anger_Management
['Anglicanism']	Anglicanism
['Angola']	Angola
['Ankhesenamun']	not_linked
['Ann Romney']	not_linked
['Anna Bligh']	not_linked
['Anna Kendrick']	not_linked
['Anna Nicole Smith']	Nicole_Richie
['Anne Boleyn']	The_Other_Boleyn_Girl
['Anne Frank']	not_linked
['Anne Hathaway']	Anne_Hathaway
['Annie Leibovitz']	not_linked
['Annie Oakley']	not_linked
['Annie']	Annie
['Anthony Head']	not_linked
['Anthony Kennedy']	not_linked
['Anti-Lebanon mountains']	not_linked
['Antoine Lavoisier']	not_linked
['Antoni Gaudí']	Michelangelo_Antonioni
['Antonie van Leeuwenhoek']	not_linked
['Antonio Vivaldi']	Michelangelo_Antonioni
['Aortic dissection']	not_linked
['Aoyama, Minato, Tokyo']	not_linked
['Apennine Mountains']	not_linked
['Apostle Philip']	not_linked
['Appalachian Mountains']	Appalachian_Mountains
['Appalachian National Scenic Trail']	Appalachian_Mountains
['Appendicitis']	not_linked
['Appendix cancer']	not_linked
['Apple Inc.']	Apple_Inc.
['April 23']	April
['Aquilegia caerulea']	not_linked
['Arabic Language']	Arabic_Language
['Arabic alphabet']	Arabic_Language
['Arabs']	Arab_people
['Arab–Israeli conflict']	not_linked
['Aragorn']	not_linked
['Archer']	not_linked
['Area 51']	not_linked
['Argentina']	Argentina
['Argentine peso']	not_linked
['Ariel']	not_linked
['Aristotle']	Aristotle
['Arizona Cardinals']	Arizona_Cardinals
['Arizona Diamondbacks']	Arizona_Diamondbacks
['Arizona State University']	Arizona_State_University
['Arizona']	Arizona
['Arkansas State Capitol']	Arkansas
['Arkansas']	Arkansas
['Arlington Municipal Airport']	Airport
['Arlington National Cemetery']	Arlington_National_Cemetery
['Arlington']	Arlington
['Armenia']	Armenia
['Armenian dram']	not_linked
['Army Wives']	not_linked
['Arnold Schwarzenegger']	Arnold_Schwarzenegger
['Arsenal F.C.']	Arsenal_F.C.
['Art Smith']	not_linked
['Arthur Conan Doyle']	Arthur_Conan_Doyle
['Arthur Dove']	not_linked
['Arthur Kipps']	not_linked
['Arthur Miller']	Arthur_Miller
['Arthur']	not_linked
['Artis Mills']	not_linked
['Artistic gymnastics']	Artistic_gymnastics
['Aruba']	Aruba
['Aruban florin']	not_linked
['Arwen']	not_linked
['Asa Philip Randolph']	not_linked
['Asenath']	not_linked
['Ashbridges Bay Wastewater Treatment Plant']	not_linked
['Asheville']	Asheville
['Ashley Greene']	not_linked
['Asia']	Asia
['Asiana Airlines']	American_Airlines
['Asif Ali Zardari']	not_linked
['Associated Press Male Athlete of the Year']	Sportsman_of_the_Year
['Association for the Study of African American Life and History']	African_National_Congress
['Assyria']	not_linked
['Aston Martin']	not_linked
['Astoria Greengrass']	not_linked
['Atheism']	Atheism
['Atlanta Braves']	Atlanta_Braves
['Atlanta Falcons']	Atlanta_Falcons
['Atlanta']	Atlanta
['Atlantic Ocean']	Atlantic_Ocean
['Atlético Madrid']	Real_Madrid_C.F.
['Attic Group']	not_linked
['Atticus Finch']	Atticus_Ross
['Auburn University']	Auburn_University
['Audi']	not_linked
['Audie Murphy']	not_linked
['Audrey Hepburn']	Audrey_Hepburn
['Augusta National Golf Course']	Augusta
['Augustine of Hippo']	Augustine_of_Hippo
['Augustus']	Augustus
['Auschwitz concentration camp']	The_Holocaust
['Austin']	Austin
['Australia']	Australia
['Australian Labor Party']	Australian_Labor_Party
['Australian Open']	not_linked
['Australian dollar']	Australian_dollar
['Austria']	Austria
['Author']	not_linked
['Autocracy']	not_linked
['Avesta']	not_linked
['Aviano Air Base']	not_linked
['Aviva Stadium']	not_linked
['Avril Lavigne']	Avril_Lavigne-US
['Axl Rose']	Axl_Rose
['Ayaan Hirsi Ali']	Ali
['Ayn Rand']	Ayn_Rand
['Ayrton Senna']	Senna
['Azerbaijan']	Azerbaijan
