entity_name	entity_name_fb	freebase_mid
["2012 NCAA Men's Division I Basketball Tournament"]	2006_NCAA_Men's_Division_I_Basketball_Tournament	/m/0bqthy
["Ain't Talkin' 'Bout Love"]	not_linked	not_linked
["Athletics at the 1976 Summer Olympics - Men's Decathlon"]	1976_Summer_Olympics	/m/0jkvj
["Aubrey O'Day"]	not_linked	not_linked
["Aurore Giscard d'Estaing"]	not_linked	not_linked
["Bill Gates's house"]	not_linked	not_linked
["Brian O'Conner"]	not_linked	not_linked
["Bright's disease"]	not_linked	not_linked
["Child's Play"]	not_linked	not_linked
["Georgia O'Keeffe"]	not_linked	not_linked
["Gymnastics at the 2012 Summer Olympics – Women's artistic team all-around"]	not_linked	not_linked
["Harry Potter and the Philosopher's Stone"]	Harry_Potter_and_the_Philosopher's_Stone	/m/03176f
["Jack Daniel's"]	not_linked	not_linked
["LSU Tigers men's basketball"]	LSU_Tigers_men's_basketball	/m/026dqjm
["McDonald's"]	McDonald's	/m/07gyp7
["Nat Turner's slave rebellion"]	not_linked	not_linked
["Newton's law of universal gravitation"]	not_linked	not_linked
["Nyang'oma Kogelo"]	not_linked	not_linked
["Parkinson's disease"]	Parkinson's_disease	/m/0g02vk
["Saint Mary's College of California Gael"]	Saint_Mary's_College_of_California	/m/01tntf
["Saint Mary's College of California"]	Saint_Mary's_College_of_California	/m/01tntf
["San Canzian d'Isonzo"]	not_linked	not_linked
["Shaquille O'Neal"]	Shaquille_O'Neal	/m/012xdf
["Shays' Rebellion"]	not_linked	not_linked
["St Andrew's School, Pangbourne"]	University_of_St_Andrews	/m/018sg9
["St George's Day"]	not_linked	not_linked
["St James's Palace"]	not_linked	not_linked
["St Trinian's School"]	not_linked	not_linked
["That's one small step for man, one giant leap for mankind."]	not_linked	not_linked
["The King's School, Grantham"]	not_linked	not_linked
["The Lion King II: Simba's Pride"]	The_Lion_King	/m/0m63c
["United Nations Children's Fund"]	not_linked	not_linked
["Walt Disney's Wonderful World of Color"]	Disney's_House_of_Mouse	/m/0jwl2
["Women's rights"]	Feminism	/m/02_h0
['-1332']	not_linked	not_linked
['-479']	not_linked	not_linked
['0.01']	not_linked	not_linked
['0030']	not_linked	not_linked
['0343-12-06']	not_linked	not_linked
['08260']	not_linked	not_linked
['139-799']	not_linked	not_linked
['1440']	not_linked	not_linked
['1656']	not_linked	not_linked
['1672-04-04']	not_linked	not_linked
['1786']	not_linked	not_linked
['1789-04-30']	not_linked	not_linked
['1836-02-23']	not_linked	not_linked
['1841-03-04']	not_linked	not_linked
['1881']	not_linked	not_linked
['1883']	not_linked	not_linked
['1889-04-20']	not_linked	not_linked
['1901']	not_linked	not_linked
['1901-09-14']	not_linked	not_linked
['1903 World Series']	not_linked	not_linked
['1906 San Francisco earthquake']	not_linked	not_linked
['1906-04-18']	not_linked	not_linked
['1908 World Series']	1908_Major_League_Baseball_season	/m/03c6s24
['1913-03-04']	not_linked	not_linked
['1914']	not_linked	not_linked
['1921-09']	not_linked	not_linked
['1923 World Series']	1927_Major_League_Baseball_Season	/m/02h7s73
['1929-03-04']	not_linked	not_linked
['1940-05-15']	not_linked	not_linked
['1945-04-12']	not_linked	not_linked
['1945-04-30']	not_linked	not_linked
['1945-09-02']	not_linked	not_linked
['1948-05-15']	not_linked	not_linked
['1949 BAA Finals']	not_linked	not_linked
['1949']	not_linked	not_linked
['1955-11-01']	not_linked	not_linked
['1957 NBA Finals']	not_linked	not_linked
['1960-11-08']	not_linked	not_linked
['1961-01-20']	not_linked	not_linked
['1962']	not_linked	not_linked
['1964-08-27']	1964_Summer_Olympics	/m/0lbbj
['1967 Stanley Cup Finals']	not_linked	not_linked
['1968']	1968_Summer_Olympics	/m/0l998
['1968-03-29']	not_linked	not_linked
['1969 World Series']	not_linked	not_linked
['1969-01-20']	not_linked	not_linked
